vendor_id,vendor_name,region,risk_rating
V00443,"Hale, Myers and Larson",AMER,Medium
V01908,Johnson PLC,EMEA,High
V03201,"Shaffer, Contreras and Christian",EMEA,High
V03873,Foster and Sons,APAC,Medium
V04988,"Wilkinson, Guzman and Elliott",LATAM,High
V04034,Harrell-Hebert,AMER,Low
V04889,Floyd-Kelly,AMER,High
V04409,Lopez LLC,LATAM,High
V03686,Forbes-Cortez,AMER,Medium
V01500,"Smith, Weeks and Arroyo",AMER,Medium
V01295,Bauer PLC,AMER,High
V00788,Benton Group,EMEA,Low
V00283,"Pollard, Simpson and Johnson",APAC,Low
V04814,"Jennings, Serrano and Howard",APAC,Low
V01740,Larson LLC,APAC,High
V04300,   williams-smith  ,LATAM,Medium
V02482,Medina Group,AMER,Medium
V00770,Hardy PLC,EMEA,Low
V02000,"Frazier, Ramirez and Brown",AMER,
V00670,"Anderson, Dalton and Wilson",EMEA,Medium
V00509,Jackson-Wallace,AMER,Low
V03994,David-Watkins,APAC,High
V04922,White and Sons,AMER,Low
V01377,Winters PLC,AMER,Low
V04567,"French, Burns and Nguyen",AMER,High
V02699,"Hanson, Williams and Mcclure",LATAM,Medium
V04536,"Nelson, Johnson and Hart",LATAM,Medium
V04849,Hunt Group,APAC,Medium
V03691,Clark-Rivera,AMER,Low
V04169,"Sullivan, Howell and Fowler",LATAM,Medium
V04509,Johnson-Morrison,EMEA,Medium
V01982,Warner PLC,EMEA,Medium
V04805,Sullivan and Sons,APAC,Medium
V01265,"Morrison, Parsons and Brandt",LATAM,Medium
V01463,Combs-Davis,AMER,Low
V00800,Sheppard-Jordan,EMEA,Low
V00593,"Allen, Armstrong and Graves",LATAM,Low
V00131,"Parker, Ortiz and Powell",EMEA,Low
V02161,Jackson-Ryan,EMEA,Low
V04537,Simon and Sons,AMER,High
V04418,Smith-Garner,APAC,Medium
V04381,Price-Dominguez,LATAM,Medium
V01090,Mccann-Ramos,AMER,Medium
V03075,Reyes PLC,AMER,
V01581,Smith-Johnson,APAC,High
V02001,Chavez-Mason,EMEA,High
V02637,Rodriguez-Hudson,APAC,Medium
V04453,Harrington-Armstrong,LATAM,Medium
V00559,Gross-Valencia,APAC,Low
V02136,Jimenez Inc,EMEA,Low
V04813,   anderson llc  ,APAC,Low
V01369,Hanson PLC,APAC,High
V01492,Dunn-Taylor,AMER,Medium
V03748,Ramos LLC,APAC,Low
V01995,Castro and Sons,LATAM,Medium
V04223,Mann LLC,EMEA,Medium
V03490,Anderson-Sanders,EMEA,Medium
V04075,Anderson-Douglas,EMEA,Medium
V00326,"Martinez, Richardson and Curry",APAC,Low
V03802,Hughes LLC,AMER,Medium
V01902,Diaz LLC,LATAM,High
V02169,Harris-Reid,LATAM,Low
V03033,Lopez Group,LATAM,Low
V02222,"Martinez, Camacho and Mathews",LATAM,High
V00229,Rowe Group,LATAM,Medium
V03972,Lewis PLC,AMER,Medium
V03509,Guerrero Inc,EMEA,High
V03385,Bernard Group,EMEA,Low
V01402,Lynch Ltd,EMEA,Medium
V00334,Davis PLC,EMEA,Low
V02102,"Mcmahon, Rush and Bailey",AMER,High
V02233,"Johnson, Williams and May",EMEA,Low
V01149,Powell-Sanford,EMEA,Low
V00694,Faulkner-Grant,APAC,High
V01271,Williams LLC,APAC,High
V04630,Hughes Ltd,APAC,High
V02304,Allen Group,EMEA,Low
V00687,"Fry, Hobbs and Buck",APAC,Medium
V04141,Kirby-Oconnor,EMEA,Low
V02676,Jackson Inc,AMER,Medium
V00776,"Weber, Wheeler and Gonzalez",LATAM,Low
V00799,"Terrell, Byrd and Ross",APAC,
V03609,Hamilton Ltd,EMEA,Low
V00409,Jackson-Meza,LATAM,Medium
V03694,Hernandez Inc,AMER,High
V01998,"Pitts, Warner and Mullins",AMER,Medium
V03669,Hancock Group,APAC,High
V00578,Brooks-Hatfield,LATAM,
V02025,Williams LLC,EMEA,Medium
V02594,"Brooks, Stone and White",AMER,
V04329,"Ross, Cummings and Harris",APAC,Medium
V03576,Vargas-Jensen,AMER,High
V01696,Ellis Group,LATAM,High
V03397,"Harris, Thomas and Yang",AMER,Low
V04415,Snyder Ltd,APAC,Low
V00345,"Harper, Smith and Buchanan",LATAM,Medium
V03264,Thomas-Edwards,APAC,Medium
V01363,"Thomas, Jackson and Nielsen",AMER,Low
V01479,Gutierrez-White,APAC,Medium
V03552,"Gordon, Andrews and Kelley",APAC,Medium
V01464,"Cook, Ward and Castro",LATAM,High
V03558,Steele Group,APAC,High
V02032,Smith Ltd,LATAM,Low
V04535,"Young, Kane and Riley",LATAM,Medium
V02865,Evans-Martinez,EMEA,Medium
V04844,"Henderson, Edwards and Sexton",EMEA,Low
V01039,Lynn-Jones,APAC,High
V01031,Baker and Sons,APAC,High
V02386,Sanchez Group,EMEA,High
V00540,Humphrey PLC,AMER,Low
V03888,"Walker, Lynch and Gordon",APAC,Medium
V04617,Martinez and Sons,LATAM,Low
V01771,Bradley-Davis,EMEA,High
V01517,Snyder LLC,APAC,Medium
V01626,"Williams, Jackson and Campbell",LATAM,High
V04801,Briggs-Moore,APAC,Medium
V03216,"Thompson, Strong and Holmes",LATAM,Medium
V02537,Bennett Ltd,EMEA,Medium
V00702,Giles Ltd,EMEA,Medium
V03253,Hayden-Garcia,APAC,Low
V00418,Thomas and Sons,LATAM,High
V02754,"Mann, Johnson and Wade",AMER,Low
V04032,Ferguson Inc,LATAM,Low
V00896,"Hernandez, Jenkins and Parks",LATAM,High
V03102,"Perez, Huynh and Nelson",AMER,High
V02592,Gibbs-Mendez,APAC,High
V04155,Li-Fuller,AMER,Medium
V04593,"Welch, Davis and James",EMEA,Medium
V04952,"Jones, Foster and Sanford",AMER,Medium
V00323,Taylor and Sons,EMEA,Low
V01490,Dalton-Nguyen,APAC,Medium
V01952,Watkins-Nguyen,EMEA,High
V00311,"Beltran, Lozano and Mcgee",APAC,Low
V04634,"Martin, Sims and Gutierrez",AMER,Low
V01646,"Anderson, Delgado and Carpenter",AMER,Medium
V02408,"Campbell, Davis and Arnold",EMEA,Medium
V02412,Green-Romero,LATAM,High
V01985,Clarke LLC,AMER,High
V00044,Allen-Allen,AMER,
V03934,Wong-Harrell,LATAM,Low
V01960,Hughes and Sons,LATAM,High
V00818,Cole Group,AMER,
V04077,Woods Ltd,APAC,High
V01115,Byrd-Holloway,AMER,High
V03045,"Miller, Taylor and Malone",AMER,High
V03291,Villa Inc,AMER,Low
V01545,"Phillips, Terry and Lopez",AMER,Medium
V03263,Lewis LLC,APAC,High
V03836,Howard Inc,AMER,Low
V00807,Guerra Ltd,EMEA,
V00784,Bennett-Velasquez,LATAM,Medium
V01206,"Brown, Schneider and Moore",APAC,Low
V00429,Gilbert PLC,LATAM,High
V02031,Gould LLC,APAC,Low
V04314,Gill Inc,EMEA,Low
V01425,"Haynes, Mcbride and Gutierrez",EMEA,High
V04188,Perry-Arnold,EMEA,High
V00365,"Phillips, Wagner and Jordan",EMEA,High
V02428,Dennis-Butler,AMER,High
V04224,Davis-Green,AMER,High
V01794,"Brown, Robinson and Taylor",APAC,High
V02815,"Paul, Hardy and Valdez",AMER,Low
V00038,"Baker, Mason and White",AMER,Low
V02142,"Payne, Cisneros and Johnson",LATAM,Low
V01970,Hood-Ramirez,EMEA,Low
V02138,Hernandez-Howell,LATAM,Medium
V00639,Holden Group,EMEA,High
V03733,Roy Group,LATAM,Low
V04494,Mendoza Inc,EMEA,
V03313,"Harris, Ross and Jones",AMER,Medium
V02298,"Smith, Booker and Douglas",APAC,Low
V01204,Alvarado-Davidson,APAC,Low
V04999,Robinson Inc,LATAM,Low
V00584,"Kirby, Wheeler and Romero",EMEA,Medium
V02541,"Williams, Horn and Morales",EMEA,High
V03811,Lopez-Clark,LATAM,Medium
V04978,"Krueger, Rodriguez and Roach",LATAM,High
V03252,Mcdaniel Ltd,EMEA,Low
V01977,"Nicholson, Chavez and Allen",LATAM,High
V03206,"Foster, Ayers and Casey",EMEA,
V02507,"Turner, Robbins and Young",AMER,High
V04152,"Mckee, Fisher and Long",EMEA,Low
V01365,Johns Ltd,LATAM,Medium
V01234,"Webb, Romero and Morse",APAC,High
V04609,"Gould, Wilson and Martin",EMEA,Low
V04479,Pierce-Fuller,APAC,Medium
V02550,Hardy-Wallace,LATAM,High
V03478,"Franklin, Gray and Sutton",AMER,Medium
V01269,"Baker, Martin and Singleton",LATAM,High
V02177,Pearson LLC,EMEA,Low
V02937,Morgan Ltd,LATAM,Low
V03261,White LLC,APAC,Low
V00658,Chavez PLC,EMEA,High
V01704,"Lane, Morrison and Rivera",APAC,High
V02431,"Palmer, Rice and Benson",APAC,High
V01116,Silva-Smith,APAC,Medium
V02728,Thompson-Wright,EMEA,Low
V00706,"Morris, Campbell and Owens",LATAM,Low
V02770,Gonzalez and Sons,EMEA,Medium
V01043,Bush-Reynolds,APAC,High
V04103,Graham-Joyce,APAC,High
V04974,"May, Thomas and Adams",EMEA,High
V01861,Blanchard-Reynolds,EMEA,Low
V02143,Beard-Wilson,LATAM,Low
V00076,"Daniels, Adkins and Brown",APAC,Medium
V01843,Smith-Rodriguez,APAC,Low
V00395,"Ramos, Nelson and Fischer",EMEA,High
V01641,Hernandez Group,AMER,Low
V02700,Turner-George,APAC,
V02664,"Barrera, Kerr and Jenkins",LATAM,Low
V04390,Brown-Armstrong,EMEA,Medium
V02706,Smith-Barr,EMEA,Low
V03248,"Case, Adams and Olson",EMEA,Medium
V01103,Thompson-Harrell,APAC,High
V03760,Collins Group,LATAM,Medium
V01746,Gentry Group,LATAM,Low
V00490,Cooper Ltd,LATAM,Low
V02521,Frazier Group,EMEA,High
V02835,"Michael, Walker and Fitzgerald",EMEA,High
V04687,Davis Ltd,EMEA,Low
V02350,Petty-Allison,LATAM,Low
V01981,   castillo llc  ,LATAM,High
V02717,Meyer Group,EMEA,Medium
V01604,Baker-Ross,LATAM,Low
V03382,"Edwards, Donovan and Marquez",EMEA,Low
V00966,Owens-Russell,LATAM,Low
V00147,Robinson-Brock,AMER,Low
V04621,"Lopez, Gutierrez and Castro",AMER,High
V00157,"Mitchell, Nelson and Flores",APAC,Low
V01655,Hernandez-Lopez,LATAM,Medium
V00847,"Alexander, Robinson and Coleman",AMER,High
V02988,"Garcia, Lopez and Vaughan",AMER,High
V01417,Thompson-Hunter,EMEA,High
V03521,Morgan-Foster,AMER,High
V02016,"Wilkinson, Wallace and Torres",APAC,High
V03533,Cohen Group,EMEA,Medium
V01563,Hebert-Collier,AMER,High
V02437,Tucker-Moody,LATAM,Low
V00852,"Norris, Callahan and Bishop",LATAM,Low
V02309,Fitzgerald-Dorsey,EMEA,Medium
V03021,"Henson, Baker and Anderson",AMER,High
V03753,White Inc,AMER,Medium
V04265,"Williams, Lewis and Bryant",EMEA,Low
V01249,Rich-Henderson,APAC,Low
V00555,Evans-Jones,AMER,Medium
V00001,"Rodriguez, Figueroa and Sanchez",AMER,Low
V02153,Flores-Johnson,AMER,Medium
V02006,Miller and Sons,EMEA,Low
V00587,Whitney PLC,AMER,Medium
V03183,Harding-Mathews,LATAM,High
V03355,"Gardner, Gaines and Archer",AMER,Low
V02003,"Bryan, Lam and Hayes",EMEA,Low
V01860,"Blanchard, Davis and Schmidt",AMER,Low
V04346,Smith Inc,EMEA,High
V04763,Thomas Ltd,EMEA,Low
V02381,"Wilson, Harris and Ward",EMEA,Low
V01698,Chapman Group,AMER,Medium
V00083,Donovan-Harris,AMER,High
V03082,Brown LLC,APAC,High
V03378,Wright Group,APAC,Low
V03916,Davis-May,LATAM,High
V00992,Ramirez and Sons,LATAM,Medium
V03226,Lopez-Delgado,APAC,High
V02358,"Reed, Terry and Smith",LATAM,Medium
V01210,Hunter PLC,LATAM,High
V00146,Stafford Inc,AMER,Medium
V03411,Alvarez LLC,EMEA,High
V04418,Smith-Garner,APAC,Medium
V02100,"   harris, santana and lopez  ",EMEA,Low
V03133,"Hughes, Clark and Bishop",EMEA,Medium
V03464,Gonzalez-Barron,EMEA,High
V02832,Welch-Lewis,AMER,Medium
V01424,Reyes and Sons,APAC,High
V03928,Scott-Perez,LATAM,High
V03366,Petersen-Martinez,APAC,
V03735,"Christensen, Aguirre and Johnson",LATAM,
V01359,Cortez-Olson,EMEA,High
V04638,"Barber, Brooks and Cole",EMEA,High
V03262,Gibbs-Howard,LATAM,Medium
V03387,Buchanan-Carpenter,EMEA,Medium
V02090,Jackson-Torres,APAC,Low
V00128,Diaz Inc,APAC,High
V04425,Vazquez Group,AMER,Medium
V04675,Ward Inc,AMER,High
V01787,Stephens-Young,LATAM,Low
V00348,Willis and Sons,AMER,Medium
V02262,Fitzgerald-Scott,AMER,High
V03488,White-Williams,EMEA,Low
V02908,Jackson Group,AMER,Low
V03178,"Jensen, Morris and Downs",AMER,Low
V01017,"Foster, Garcia and Turner",EMEA,High
V00107,"Wright, Garcia and Deleon",EMEA,Medium
V03762,Perez-Lopez,LATAM,High
V00199,Ramirez Group,LATAM,Medium
V00829,Allen Inc,AMER,Low
V02099,Webster Inc,EMEA,Medium
V01268,"Palmer, Bennett and Patterson",EMEA,Low
V01992,"Cox, Williams and Reyes",AMER,Low
V00988,Ramirez-Stephenson,APAC,Low
V00398,"Estrada, Williams and Foster",EMEA,Low
V01345,Williams and Sons,APAC,Medium
V02971,"Lopez, Campbell and Wilson",EMEA,Medium
V04815,"Miller, Martin and Collins",AMER,High
V01857,Thomas-Berg,LATAM,Medium
V00335,Price LLC,EMEA,Medium
V01456,Gonzalez-Marsh,EMEA,Low
V04024,Preston-Morales,APAC,Low
V00528,Contreras-Mckinney,EMEA,High
V02698,Jones LLC,EMEA,Low
V00630,Hays-Daniels,LATAM,
V03460,"Frederick, Porter and Ross",AMER,Low
V00635,Gibbs-Bradley,EMEA,Medium
V02834,Hernandez-Moran,AMER,Medium
V04701,Massey-Obrien,EMEA,High
V03347,Carey LLC,AMER,Medium
V03300,Lane Ltd,LATAM,Medium
V03167,Thomas LLC,AMER,High
V03399,"Phelps, Turner and Collins",LATAM,Medium
V04243,"Spencer, Morgan and Diaz",EMEA,Medium
V03621,"Best, Humphrey and Pittman",LATAM,Low
V00984,Jackson PLC,APAC,Medium
V00683,"Holder, Young and Hendricks",APAC,Medium
V01172,Hunt PLC,LATAM,High
V00882,Williams Ltd,APAC,Low
V04880,"Scott, Sandoval and Powers",LATAM,Medium
V00206,Freeman-Chang,APAC,High
V02388,Watson-Fischer,AMER,Low
V00837,Lee Group,EMEA,High
V02311,Hunt-Burns,EMEA,Medium
V04652,Holt LLC,LATAM,Medium
V04928,Ellison-Fisher,APAC,Medium
V04802,Good-Cook,APAC,Low
V00504,"Jimenez, Glass and Stone",LATAM,Low
V02645,Moore-Rodriguez,APAC,High
V02514,"Anderson, Brown and Green",APAC,Medium
V00971,Hernandez-Dawson,EMEA,
V04367,Nixon LLC,APAC,High
V02078,Davis-Carpenter,EMEA,Low
V00270,Baird-Sanchez,EMEA,Low
V03652,"Morales, Cardenas and Mcdowell",EMEA,Low
V02013,Brown and Sons,AMER,Medium
V00758,Lopez-Willis,LATAM,High
V01628,Jones Ltd,APAC,Low
V04388,"Huang, Johnson and Anderson",EMEA,High
V01117,"Levy, Franco and Hoffman",EMEA,Medium
V02347,Richards-Harris,AMER,Low
V01165,"Vang, Stanley and Valdez",LATAM,Low
V00257,Cordova Group,AMER,Medium
V00821,Ray PLC,AMER,Medium
V01271,Williams LLC,APAC,High
V03290,"Barrera, Wood and Leach",APAC,High
V04903,Johnson and Sons,LATAM,Medium
V01275,"Robinson, White and Jones",LATAM,High
V02239,Green Ltd,LATAM,
V01247,Aguilar-Bender,AMER,Medium
V01800,Sellers-Zuniga,LATAM,Medium
V04871,"Olsen, Payne and Butler",APAC,Medium
V04505,"Garner, Campbell and Hawkins",LATAM,High
V02133,King Group,EMEA,High
V02027,"Mann, Wade and Spence",EMEA,Low
V03775,Watson-Gray,AMER,Medium
V02830,"Flores, Shaw and Barker",LATAM,High
V03422,"Warren, Palmer and Thompson",AMER,High
V04819,Prince Group,APAC,Medium
V03660,Carter-Davis,EMEA,High
V03670,"Wright, Thomas and Jensen",APAC,Low
V00310,Smith-Grimes,AMER,High
V04911,"Stewart, Collins and Short",AMER,Low
V02585,Lee Group,APAC,Medium
V01272,"Williams, Randolph and Gilbert",LATAM,Medium
V04164,"Morris, Morales and Bailey",APAC,High
V02410,"Vargas, Allen and Schroeder",APAC,Low
V03852,Hill Ltd,LATAM,High
V00278,Gibson-Morris,APAC,Low
V01429,Woods LLC,EMEA,Low
V03175,Gaines-Hudson,APAC,High
V04079,Perez Inc,APAC,High
V04331,Gould Ltd,AMER,
V00328,Rodriguez-Hall,APAC,High
V00609,Huang-Foster,LATAM,Low
V04107,Parsons and Sons,LATAM,High
V01375,Valenzuela-Greene,EMEA,Medium
V02232,"Daniel, Kelley and Murphy",EMEA,Medium
V01320,Stewart Group,AMER,High
V00891,Taylor-Ayala,EMEA,High
V04691,Mcclain and Sons,APAC,Low
V01256,Cervantes-Garcia,AMER,High
V01212,Solis-West,APAC,High
V03476,Smith Inc,EMEA,
V03189,Turner LLC,APAC,Medium
V03659,Costa-Johnston,LATAM,High
V03579,"Davenport, Roberts and Woods",AMER,High
V03963,Murphy Group,EMEA,Medium
V01804,Wood PLC,APAC,Medium
V03164,Irwin-Lewis,APAC,High
V02193,Sanchez LLC,APAC,High
V02458,Sanchez Ltd,AMER,Medium
V04457,Dixon-Davis,LATAM,Low
V00419,Morrison Ltd,LATAM,Low
V02122,"Garcia, Kim and Barrett",LATAM,Medium
V00243,Gonzales-Harrison,EMEA,Low
V00616,Sanchez Ltd,EMEA,Medium
V02818,Peterson PLC,AMER,Low
V00145,Hernandez Ltd,APAC,Low
V04879,Garcia Ltd,APAC,Low
V01498,Smith-Mills,APAC,Medium
V04573,"Smith, Leon and Wagner",AMER,Low
V03166,Nelson-Reid,AMER,High
V02715,Stevenson-Murphy,APAC,Low
V01355,Shaw and Sons,APAC,Low
V04070,Prince-Davis,APAC,High
V02989,Cook-Rodriguez,APAC,Medium
V03567,Yoder Group,APAC,Low
V02871,Sheppard Inc,EMEA,Low
V04401,Hughes Ltd,LATAM,Low
V01530,"Pineda, Meyer and King",LATAM,Low
V04251,"Day, Campbell and Taylor",LATAM,Medium
V01264,"Mckinney, Richardson and Chapman",LATAM,High
V01819,Arnold-Cole,AMER,High
V04038,Martinez-Gould,AMER,Low
V02151,"Brown, Baker and Garza",LATAM,High
V03963,Murphy Group,EMEA,Medium
V01349,Davenport-Baker,LATAM,Low
V01337,"Vincent, Anderson and Mason",LATAM,Medium
V00102,"Patterson, Smith and Jones",EMEA,High
V04083,Page-Murray,EMEA,Medium
V02980,Graves-Baird,APAC,High
V04993,Perez-Bernard,AMER,Medium
V00010,Abbott-Munoz,APAC,Low
V02123,Wilson Group,AMER,
V00021,Gray-Mayo,LATAM,Medium
V00825,"Price, Long and Wilson",APAC,High
V02277,Stewart Group,EMEA,Medium
V02374,Glover-Hammond,LATAM,Low
V00174,Lewis-Murphy,EMEA,Low
V02319,Evans-Joyce,EMEA,Medium
V04906,Montes Group,APAC,Low
V00389,Bennett Group,AMER,High
V01528,Price-Ali,AMER,High
V01082,"Washington, Lynch and Johnson",LATAM,High
V02190,Colon-Lucas,EMEA,Medium
V02047,Hughes-Smith,AMER,Medium
V03553,Ryan-Martinez,EMEA,Low
V03031,"Hamilton, Hernandez and Mendoza",APAC,Medium
V03636,Herrera Ltd,APAC,High
V03241,"Bond, Wilson and Cooper",LATAM,Low
V01246,"   morris, wilson and bell  ",LATAM,Medium
V03573,"Sellers, Strong and Gomez",AMER,Medium
V04092,"Sullivan, Haney and Chavez",APAC,Low
V01072,Flowers LLC,AMER,Medium
V04222,White-Collins,APAC,High
V00354,"Morris, Thompson and Williams",LATAM,Medium
V01076,"Ellis, Marks and Buchanan",EMEA,High
V03929,Aguilar and Sons,EMEA,Low
V00506,Morrison-Short,APAC,High
V04086,"Thomas, Doyle and Rosales",LATAM,Low
V04296,Allen PLC,EMEA,
V00026,Wilkerson-Day,LATAM,Low
V00889,"Anderson, Jones and Reyes",EMEA,High
V04730,Foley-Miranda,EMEA,High
V02748,Lee Group,APAC,High
V02414,West PLC,EMEA,High
V03692,"Cortez, Phelps and Taylor",APAC,Medium
V04348,Harris-Hernandez,LATAM,Low
V01015,"Stark, Schroeder and Mathis",EMEA,Medium
V01455,Brock-Peters,LATAM,Low
V02073,Williams-Carter,EMEA,Low
V02970,Williamson Ltd,APAC,Low
V03975,Duncan and Sons,AMER,High
V02644,   jackson group  ,AMER,Low
V00978,Parks-Pace,APAC,High
V04175,"Phillips, Castro and Thompson",EMEA,Medium
V03543,"Brooks, Dunlap and Carter",AMER,Low
V01540,"Moody, Martinez and Hall",APAC,
V04442,Lara-Butler,AMER,Low
V00442,Rangel LLC,APAC,High
V00508,Parker-Morrison,LATAM,Medium
V03123,Matthews Group,APAC,High
V01504,   wright-espinoza  ,EMEA,High
V02631,"Goodwin, Farmer and Vaughn",AMER,Low
V03220,Hood-Moore,EMEA,High
V04854,"Harris, Hernandez and Becker",LATAM,Low
V01205,Combs PLC,AMER,Medium
V04867,"King, Baker and Schmidt",APAC,High
V02250,   wilcox-snyder  ,EMEA,Medium
V03402,Meyer and Sons,APAC,Low
V04338,White-Ramos,EMEA,Low
V01209,Rivera LLC,EMEA,Low
V03268,Guzman-Rose,LATAM,High
V02469,Garcia-Thomas,AMER,Low
V02995,"Martinez, Willis and Barr",EMEA,Medium
V04312,Smith-Brown,EMEA,Medium
V00363,"Hernandez, Martinez and Weber",EMEA,Low
V01828,Marshall-Miller,AMER,Medium
V04011,Taylor Ltd,LATAM,High
V01166,Williams Inc,EMEA,High
V00930,"Proctor, Burton and Crawford",EMEA,Medium
V04965,Harris-Rodriguez,APAC,Medium
V00816,Lopez Ltd,LATAM,Low
V02601,   scott-miller  ,AMER,High
V02512,"Snyder, Arnold and Keller",LATAM,Medium
V01905,"Lee, Dominguez and Mosley",LATAM,Low
V00264,"Lloyd, Mckinney and Collins",LATAM,High
V03172,Gonzalez Group,LATAM,Low
V01155,"Torres, Brown and Williams",APAC,
V04465,Jacobs-Herrera,AMER,Low
V02116,Wilson-Campbell,EMEA,Medium
V00378,Bell-Lane,LATAM,Low
V00793,Ewing-Mendoza,APAC,
V03826,Schmidt-Reyes,EMEA,Medium
V03613,"Gonzalez, Harrison and Washington",LATAM,High
V02641,"Burns, Lopez and Jones",APAC,High
V00526,Hayes Ltd,AMER,High
V02870,"Reeves, Tyler and Martinez",EMEA,Medium
V02720,"Mcneil, Solis and Horton",APAC,
V03571,Bass Inc,AMER,Low
V02005,Lopez Group,APAC,Medium
V02719,"Rivera, Allen and Ryan",AMER,High
V01752,Reeves-Boyd,EMEA,High
V04230,"Elliott, Villarreal and Sosa",EMEA,High
V01401,Baker LLC,LATAM,Low
V02711,Todd-Harvey,LATAM,High
V00636,Thompson Ltd,EMEA,Medium
V01191,Marsh-Banks,LATAM,Medium
V03634,"Robinson, Fields and Williams",AMER,Medium
V04447,Wood Group,LATAM,Medium
V03859,"Lynch, Murray and Fisher",LATAM,Low
V03111,Allen and Sons,EMEA,High
V03296,Silva Inc,EMEA,High
V04105,Sanders PLC,AMER,High
V03715,"Wolf, Allen and Long",EMEA,Medium
V02394,"Acevedo, Miller and Edwards",LATAM,Medium
V02227,"Sullivan, Johnson and Delacruz",AMER,High
V04285,Barrera Group,AMER,Low
V00950,Hall LLC,AMER,Low
V01653,Ali-Turner,APAC,Low
V03442,Zhang PLC,AMER,High
V00781,"Harris, Edwards and Oconnell",LATAM,Low
V03590,"Clark, Stone and Andrews",LATAM,High
V00877,Harris-Barker,EMEA,Medium
V03242,Webb-Mendez,LATAM,Medium
V02166,Stokes Inc,AMER,Low
V00405,Graham Group,EMEA,High
V02629,Porter Ltd,AMER,Medium
V02878,"Jackson, Rowland and Barrett",LATAM,Low
V01827,"Simon, Terrell and Terrell",APAC,High
V01459,"Holmes, Le and Floyd",LATAM,High
V03016,Bowman LLC,LATAM,
V02851,Mccann-White,APAC,Medium
V02022,Joseph LLC,EMEA,Low
V01882,Ramirez Inc,APAC,High
V04125,Taylor-Morales,APAC,Medium
V02708,Gordon Ltd,AMER,Medium
V01876,Douglas-Yoder,LATAM,Medium
V03799,Cooper Group,LATAM,Low
V04003,Sanchez-Armstrong,AMER,High
V02931,"Brady, Sanchez and Stevenson",LATAM,High
V02716,Stewart-Buchanan,APAC,Medium
V04738,Smith Group,APAC,High
V03857,Davis-Walker,EMEA,Medium
V01045,Rivera and Sons,APAC,Low
V01797,"Carter, Gilbert and West",APAC,Low
V03424,"Morgan, Espinoza and Buchanan",APAC,Low
V04967,Hammond-Kennedy,LATAM,Low
V04762,Weeks-Martin,AMER,Medium
V01694,Roach and Sons,AMER,High
V02359,Barber-Harrison,AMER,Low
V03256,"Burgess, Cabrera and Dean",LATAM,Low
V03280,"Williams, Newman and Jones",LATAM,High
V00034,Frazier Inc,APAC,High
V04249,Alvarado LLC,LATAM,Low
V03839,"Snyder, Orozco and Reed",EMEA,High
V01596,"Delgado, Guzman and Smith",APAC,High
V00753,Davis and Sons,EMEA,High
V01618,Singh and Sons,AMER,Low
V00901,Wright PLC,EMEA,Low
V01670,"Crosby, Armstrong and Herrera",LATAM,Medium
V04325,Archer and Sons,LATAM,Medium
V01434,Perez and Sons,APAC,Medium
V04454,Erickson PLC,EMEA,Medium
V03612,Willis and Sons,APAC,Medium
V03978,"   moore, frye and zavala  ",APAC,
V03743,Hurst-Jackson,LATAM,Low
V02636,Brown-Hughes,APAC,Medium
V01565,"Paul, Zamora and Short",AMER,Medium
V01431,Valentine Ltd,EMEA,Medium
V04740,"Barber, Oneal and Owens",LATAM,High
V02511,Rodriguez-Ramirez,LATAM,Low
V00721,Landry Ltd,EMEA,Medium
V00087,"Ferrell, Jones and Lewis",EMEA,
V00632,"Mcdonald, Lee and Rodriguez",APAC,Low
V04268,Duncan PLC,LATAM,Low
V03182,"Russell, Meyer and Smith",LATAM,Low
V03287,Johnson Inc,LATAM,Medium
V02872,Atkins Ltd,LATAM,High
V00273,Morgan-French,LATAM,High
V02485,Nelson-King,LATAM,Medium
V00769,Smith-Gutierrez,EMEA,
V04468,Mills PLC,APAC,Medium
V03524,"Guerrero, Huff and Abbott",AMER,Low
V03190,"Fuentes, Martinez and Porter",APAC,Medium
V04670,Reilly-Gibson,LATAM,Low
V02443,Berry-Knight,AMER,High
V03671,Mills-Franco,APAC,Low
V02616,"Daniels, Green and Carrillo",AMER,Low
V01330,"Gonzalez, Gross and Sims",EMEA,High
V04144,Marquez Group,LATAM,Low
V02494,Clark-Haley,LATAM,Low
V00512,"Whitney, Gould and Jones",AMER,Medium
V03489,Morrison-Zamora,AMER,Low
V01443,Ayers-Johnson,APAC,Medium
V04890,Gomez Group,APAC,High
V02963,Shaw-Mclean,EMEA,Medium
V04671,"Silva, Hill and Bradley",EMEA,Low
V00925,"Smith, Crawford and Reed",LATAM,Medium
V04005,Taylor Inc,EMEA,High
V04773,"Reid, Thomas and Gill",EMEA,
V01863,Scott PLC,APAC,Low
V02242,Duffy-Wilkerson,AMER,Medium
V02266,"Mckinney, Pacheco and Smith",APAC,Medium
V02602,Phillips PLC,LATAM,Low
V00510,Williams-Berg,EMEA,Low
V03309,"Palmer, Edwards and Blackburn",EMEA,High
V00940,Shaw Inc,EMEA,High
V00457,Bishop-Goodwin,APAC,Low
V04232,Nichols LLC,LATAM,Medium
V02336,"Church, Guzman and Tucker",APAC,Medium
V03210,Randall-Stone,LATAM,Low
V03379,"Gonzalez, Torres and Evans",EMEA,Low
V03240,Keller Ltd,EMEA,High
V02111,Zavala-Coleman,EMEA,High
V04181,Austin-Arellano,LATAM,
